"NAME","RANK_PROJECTED","RANK_PROJECTED_LIVE","RANK_SCORED","FANTASY_POINTS_PROJECTED","FANTASY_POINTS_PROJECTED_LIVE","FANTASY_POINTS_SCORED","IPO_PRICE","SUGGESTED_PRICE","LAST_PRICE","BID_PRICE","ASK_PRICE","FINAL_PRICE","PROJECTED_VALUATION","CURRENT_VALUATION","TRADEABLE_ID","ENTITY_ID","TEAM_ID","TEAM_ABBREVIATION","EVENT_ID","EVENT_NAME"
"Jamal Murray",51,52,51,30.43,30.43,"NULL","NULL",3.42,"NULL","NULL","NULL","NULL","3.1","3.1","tdbl_6369e253c08de5cfd4dffde4be5e9336","en_d4dffde4be5e9336cc71af2a5fc9de29","team_0d0866361e9040ebffc04d6b5615caf7","DEN","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Cameron Payne",52,53,52,30.26,30.26,"NULL","NULL",3.7,"NULL","NULL","NULL","NULL","3","3","tdbl_6369e253c08de5cff32fc209d67b3b09","en_f32fc209d67b3b09857f11370f7718ca","team_b24eab7ad40329a6c2d98499001984d6","PHX","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Devin Vassell",53,54,53,30.14,30.14,"NULL","NULL",3.56,"NULL","NULL","NULL","NULL","2.92","2.92","tdbl_6369e253c08de5cf5fda36122455d1d3","en_5fda36122455d1d34df3ffbdd959b639","team_a81cc369e80e7779c099c9acc75d1d2d","SAS","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Dennis Smith",54,55,54,30.13,30.13,"NULL","NULL",3.53,"NULL","NULL","NULL","NULL","2.83","2.83","tdbl_6369e253c08de5cf43f7aac6dbada085","en_43f7aac6dbada0853c99de46e8871ecf","team_0f1b93d1f9daa8aad8d27fb0165fc89a","CHA","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Evan Mobley",55,58,55,29.8,29.8,"NULL","NULL",3.53,"NULL","NULL","NULL","NULL","2.75","2.75","tdbl_6369e253c08de5cf6151cadadaa107c6","en_6151cadadaa107c6da6306fca7563f20","team_c00646340cb990d711ba0a71836a83f9","CLE","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Ivica Zubac",56,59,56,29.39,29.39,"NULL","NULL",3.33,"NULL","NULL","NULL","NULL","2.66","2.66","tdbl_6369e253c08de5cf85e7a39b281a7530","en_85e7a39b281a7530b8301afc32033926","team_7dd4f60270d41675e670de5d3b365167","LAC","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Russell Westbrook",57,57,57,29.98,29.98,"NULL","NULL",3.37,"NULL","NULL","NULL","NULL","2.58","2.58","tdbl_6369e253c08de5cf9429a910322dd902","en_9429a910322dd902d9cd6a0f3dd8f4b2","team_c810af314a7b97e51d7b768db3b140dd","LAL","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Michael Porter",58,61,58,29.05,29.05,"NULL","NULL",3.26,"NULL","NULL","NULL","NULL","2.5","2.5","tdbl_6369e253c08de5cf93b3dc565aebb459","en_93b3dc565aebb4599e785daf47b809a6","team_0d0866361e9040ebffc04d6b5615caf7","DEN","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"P.J. Washington",59,60,59,29.38,29.38,"NULL","NULL",3.36,"NULL","NULL","NULL","NULL","2.43","2.43","tdbl_6369e253c08de5cf1fcc2ca79b66ea18","en_1fcc2ca79b66ea18e620d2eaab2233f0","team_0f1b93d1f9daa8aad8d27fb0165fc89a","CHA","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Josh Giddey",60,62,60,29.03,29.03,"NULL","NULL",3.3,"NULL","NULL","NULL","NULL","2.36","2.36","tdbl_6369e253c08de5cf6151cada0fbd9428","en_6151cada0fbd94289de056304c8a03a3","team_f8d4d4a89c62cfd39080728541a78e1d","OKC","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
