player,ipo_price,final_payout,roi,name,position,fantasy_points_scored,sector_code,date,num_pos,num_neg,num_neutral,sum_sent_score,total_tweets,avg_sent_score,pos_perc,neg_perc,neutral_perc,lag_sum_sent_score,lag_avg_sent_score,lag_total_tweets,lag_pos_perc
Shai Gilgeous-Alexander,8.77,7.25,-0.17331812998859744,NBA Daily Main Market 10/22,SG,38.75,NBA,2022-10-22,34,19,38,3.27530496136423,91,0.03599236221279374,0.37362637362637363,0.2087912087912088,0.4175824175824176,0.863230414276223,0.034529216571048925,25,0.44
Tyrese Haliburton,8.48,12,0.4150943396226414,NBA Daily Main Market 10/22,PG,53.5,NBA,2022-10-22,76,39,56,8.57187472865261,171,0.050127922389781344,0.4444444444444444,0.22807017543859648,0.32748538011695905,8.34471333957476,0.049670912735564045,168,0.5119047619047619
Jarrett Allen,5.42,1,-0.8154981549815498,NBA Daily Main Market 10/22,C,18.5,NBA,2022-10-22,36,22,22,1.34338495298469,80,0.016792311912308625,0.45,0.275,0.275,0.892989835408725,0.024805273205797916,36,0.4444444444444444
DeMar DeRozan,8.05,1.32,-0.8360248447204969,NBA Daily Main Market 10/22,SG,21.5,NBA,2022-10-22,144,137,90,1.46709996057445,371,0.0039544473330847705,0.3881401617250674,0.3692722371967655,0.24258760107816713,22.2161372854556,0.03612380046415545,615,0.4634146341463415
Pascal Siakam,8.68,11,0.2672811059907835,NBA Daily Main Market 10/22,PF,47.5,NBA,2022-10-22,112,47,56,13.1429850270802,215,0.061130162916652096,0.5209302325581395,0.2186046511627907,0.26046511627906976,17.7276167959013,0.038706586890614195,458,0.4170305676855895
Nikola Jokic,14.44,15,0.038781163434903086,NBA Daily Main Market 10/22,C,61,NBA,2022-10-22,297,171,157,25.5047965648901,625,0.04080767450382416,0.4752,0.2736,0.2512,3.55963041815525,0.021443556735875,166,0.45180722891566266
Zach LaVine,5.58,6.67,0.19534050179211468,NBA Daily Main Market 10/22,SG,37.25,NBA,2022-10-22,167,114,121,9.9919202177307,402,0.024855522929678357,0.4154228855721393,0.2835820895522388,0.3009950248756219,4.04399889248058,0.02073845585887477,195,0.40512820512820513
Jamal Murray,1.99,2.92,0.4673366834170854,NBA Daily Main Market 10/22,PG,29,NBA,2022-10-22,131,122,88,2.66167570058564,341,0.0078055005882276835,0.3841642228739003,0.35777126099706746,0.25806451612903225,-2.86219627665296,-0.011224299124129256,255,0.3764705882352941
Paul George,9.47,14,0.47835269271383307,NBA Daily Main Market 10/22,SF,60.5,NBA,2022-10-22,270,160,225,24.2433702483801,655,0.03701277900516046,0.4122137404580153,0.24427480916030533,0.3435114503816794,-5.69947835643564,-0.006283879114041499,907,0.3638368246968026
RJ Barrett,5.07,1.79,-0.6469428007889546,NBA Daily Main Market 10/21,SG,27.25,NBA,2022-10-21,89,54,63,9.92669128191516,206,0.048187821756869705,0.4320388349514563,0.2621359223300971,0.3058252427184466,0.799341165206106,0.0030862593251201,259,0.49034749034749037
Cade Cunningham,6.42,3.7,-0.4236760124610592,NBA Daily Main Market 10/21,PG,34.5,NBA,2022-10-21,78,46,52,4.03434073964763,176,0.022922390566179715,0.4431818181818182,0.26136363636363635,0.29545454545454547,5.8261453097046,0.056020627977928845,104,0.5096153846153846
Jimmy Butler,7.91,3.4,-0.5701643489254108,NBA Daily Main Market 10/21,SF,33.75,NBA,2022-10-21,454,161,4,61.384859121491,619,0.09916778533358804,0.7334410339256866,0.26009693053311794,0.006462035541195477,31.0144284532003,0.10069619627662435,308,0.7045454545454546
Bam Adebayo,5.62,4.13,-0.2651245551601424,NBA Daily Main Market 10/21,C,38,NBA,2022-10-21,124,79,74,7.77747913244078,277,0.028077541994371045,0.44765342960288806,0.2851985559566787,0.26714801444043323,1.09502751165429,0.0182504585275715,60,0.4
Kevin Durant,11.15,6.5,-0.41704035874439466,NBA Daily Main Market 10/21,SF,43.25,NBA,2022-10-21,268,182,204,19.5113458731973,654,0.02983386219143318,0.40978593272171254,0.2782874617737003,0.3119266055045872,46.4804707603955,0.06375921915006241,729,0.5308641975308642
Kyrie Irving,7.15,6.34,-0.11328671328671334,NBA Daily Main Market 10/21,PG,43.25,NBA,2022-10-21,190,129,197,11.7354001827781,516,0.02274302361003508,0.3682170542635659,0.25,0.3817829457364341,-0.124241465580552,-2.2922779627408118e-4,542,0.3413284132841328
Dejounte Murray,9,11.5,0.2777777777777778,NBA Daily Main Market 10/21,PG,49.25,NBA,2022-10-21,137,54,67,13.4302904073636,258,0.05205538917582791,0.5310077519379846,0.20930232558139536,0.25968992248062017,15.7058253394302,0.08054269404836001,195,0.6307692307692307
Andrew Wiggins,3.59,7.5,1.0891364902506964,NBA Daily Main Market 10/21,SF,45,NBA,2022-10-21,96,31,99,12.0234049897411,226,0.05320090703425266,0.4247787610619469,0.13716814159292035,0.43805309734513276,8.71564511334953,0.08544750111126989,102,0.5784313725490197
Jaylen Brown,6.39,7.75,0.21283255086071995,NBA Daily Main Market 10/21,SF,45,NBA,2022-10-21,472,214,415,56.6319689964224,1101,0.051436847408194736,0.4287011807447775,0.1943687556766576,0.37693006357856496,10.3900186042097,0.04947627906766524,210,0.4238095238095238
Bradley Beal,6.33,3.2,-0.49447077409162715,NBA Daily Main Market 10/21,SG,33.25,NBA,2022-10-21,259,172,295,7.78253725495388,726,0.01071974828506044,0.35674931129476584,0.2369146005509642,0.40633608815426997,7.06364601712819,0.059358369891833525,119,0.44537815126050423
