player,ipo_price,final_payout,roi,name,position,fantasy_points_scored,sector_code,date
Ja Morant,12.35,25,1.0242914979757085,NBA Daily Main Market 10/21,PG,74.5,NBA,2022-10-21
CJ McCollum,5.44,2.66,-0.5110294117647058,NBA Daily Main Market 10/21,SG,32,NBA,2022-10-21
Fred VanVleet,5.23,13,1.4856596558317399,NBA Daily Main Market 10/21,PG,51.75,NBA,2022-10-21
Anthony Edwards,5.65,4.88,-0.13628318584070803,NBA Daily Main Market 10/21,SG,39.25,NBA,2022-10-21
Trae Young,8.5,6.17,-0.2741176470588235,NBA Daily Main Market 10/21,PG,43,NBA,2022-10-21
Karl-Anthony Towns,8.31,3.3,-0.6028880866425993,NBA Daily Main Market 10/21,C,33.5,NBA,2022-10-21
Pascal Siakam,8.19,20,1.4420024420024422,NBA Daily Main Market 10/21,PF,69.5,NBA,2022-10-21
Nikola Jokic,15.5,15,-0.03225806451612903,NBA Daily Main Market 10/21,C,54,NBA,2022-10-21
Nikola Jokic,20.45,20,-0.02200488997555009,NBA Daily Late Market 10/21,C,54,NBA,2022-10-21
Brandon Ingram,6.73,14,1.0802377414561664,NBA Daily Main Market 10/21,SF,52.75,NBA,2022-10-21
Joel Embiid,15.85,9,-0.43217665615141954,NBA Daily Main Market 10/20,C,29,NBA,2022-10-20
James Harden,13,25,0.9230769230769231,NBA Daily Main Market 10/20,SG,59,NBA,2022-10-20
Kawhi Leonard,7.19,7,-0.026425591098748313,NBA Daily Main Market 10/20,SF,25.75,NBA,2022-10-20
Giannis Antetokounmpo,18.88,20,0.05932203389830514,NBA Daily Main Market 10/20,PF,56.75,NBA,2022-10-20
Anthony Davis,12,12,0,NBA Daily Main Market 10/20,PF,37,NBA,2022-10-20
Jrue Holiday,9.62,5,-0.4802494802494802,NBA Daily Main Market 10/20,PG,20,NBA,2022-10-20
LeBron James,15.49,14,-0.09619109102646871,NBA Daily Main Market 10/20,SF,45.5,NBA,2022-10-20
Paul George,11.66,10,-0.1423670668953688,NBA Daily Main Market 10/20,SF,33.5,NBA,2022-10-20
RJ Barrett,4.26,1,-0.7652582159624413,NBA Daily Main Market 10/19,SG,18.5,NBA,2022-10-19
Cade Cunningham,7.33,3.4,-0.5361527967257844,NBA Daily Main Market 10/19,PG,32.25,NBA,2022-10-19
Jimmy Butler,7.08,7.25,0.02401129943502824,NBA Daily Main Market 10/19,SF,41.5,NBA,2022-10-19
De'Aaron Fox,11.75,25,1.127659574468085,NBA Daily Late Market 10/19,PG,54.75,NBA,2022-10-19
Kevin Durant,10.3,11,0.06796116504854362,NBA Daily Main Market 10/19,SF,47.25,NBA,2022-10-19
De'Aaron Fox,6.06,18,1.9702970297029707,NBA Daily Main Market 10/19,PG,54.75,NBA,2022-10-19
Dejounte Murray,8.22,15,0.8248175182481751,NBA Daily Main Market 10/19,PG,52.75,NBA,2022-10-19
Luka Doncic,19.8,20,0.010101010101010065,NBA Daily Late Market 10/19,PG,54.25,NBA,2022-10-19
Bradley Beal,5.85,5.34,-0.08717948717948715,NBA Daily Main Market 10/19,SG,38.75,NBA,2022-10-19
Luka Doncic,14.25,16,0.12280701754385964,NBA Daily Main Market 10/19,PG,54.25,NBA,2022-10-19
Devin Booker,12.01,16,0.3322231473771857,NBA Daily Late Market 10/19,SG,46,NBA,2022-10-19
Bam Adebayo,7,1,-0.8571428571428571,NBA Daily Main Market 10/19,C,22.25,NBA,2022-10-19
Devin Booker,6.8,9.5,0.3970588235294118,NBA Daily Main Market 10/19,SG,46,NBA,2022-10-19
Kyrie Irving,7.33,1,-0.8635743519781719,NBA Daily Main Market 10/19,PG,23,NBA,2022-10-19
Deandre Ayton,9.47,8,-0.15522703273495253,NBA Daily Late Market 10/19,C,35,NBA,2022-10-19
Tyrese Haliburton,6.71,6.67,-0.005961251862891212,NBA Daily Main Market 10/19,PG,40.5,NBA,2022-10-19
Deandre Ayton,4.76,4.25,-0.10714285714285711,NBA Daily Main Market 10/19,C,35,NBA,2022-10-19
Chris Paul,9.9,4.5,-0.5454545454545455,NBA Daily Late Market 10/19,PG,23.25,NBA,2022-10-19
Damian Lillard,13.09,10,-0.23605805958747134,NBA Daily Late Market 10/19,PG,36,NBA,2022-10-19
Chris Paul,4.69,1,-0.7867803837953092,NBA Daily Main Market 10/19,PG,23.25,NBA,2022-10-19
Damian Lillard,7.35,4.5,-0.3877551020408163,NBA Daily Main Market 10/19,PG,36,NBA,2022-10-19
Jarrett Allen,4.08,2.22,-0.4558823529411764,NBA Daily Main Market 10/19,C,29,NBA,2022-10-19
Donovan Mitchell,5.59,13,1.3255813953488373,NBA Daily Main Market 10/19,SG,50.5,NBA,2022-10-19
DeMar DeRozan,7,25,2.5714285714285716,NBA Daily Main Market 10/19,SG,65,NBA,2022-10-19
Ja Morant,12.05,14,0.16182572614107876,NBA Daily Main Market 10/19,PG,51,NBA,2022-10-19
Rudy Gobert,6,12,1,NBA Daily Main Market 10/19,C,50.5,NBA,2022-10-19
Fred VanVleet,4.86,3.8,-0.21810699588477375,NBA Daily Main Market 10/19,PG,33,NBA,2022-10-19
CJ McCollum,4.91,6.5,0.32382892057026474,NBA Daily Main Market 10/19,SG,40.5,NBA,2022-10-19
Trae Young,9.1,8.75,-0.03846153846153842,NBA Daily Main Market 10/19,PG,44.75,NBA,2022-10-19
Anthony Edwards,6,1.26,-0.79,NBA Daily Main Market 10/19,SG,26,NBA,2022-10-19
Domantas Sabonis,8.79,1.58,-0.820250284414107,NBA Daily Main Market 10/19,PF,27,NBA,2022-10-19
Karl-Anthony Towns,8.55,1.65,-0.8070175438596491,NBA Daily Main Market 10/19,C,27,NBA,2022-10-19
Domantas Sabonis,16,6,-0.625,NBA Daily Late Market 10/19,PF,27,NBA,2022-10-19
Pascal Siakam,7.25,6.17,-0.14896551724137932,NBA Daily Main Market 10/19,PF,40.25,NBA,2022-10-19
Darius Garland,5.23,1,-0.8087954110898662,NBA Daily Main Market 10/19,PG,10.25,NBA,2022-10-19
Nikola Jokic,15.55,10,-0.3569131832797428,NBA Daily Main Market 10/19,C,46.5,NBA,2022-10-19
Shai Gilgeous-Alexander,5.89,20,2.395585738539898,NBA Daily Main Market 10/19,SG,56,NBA,2022-10-19
Jamal Murray,2.4,1,-0.5833333333333334,NBA Daily Main Market 10/19,PG,16.5,NBA,2022-10-19
Brandon Ingram,5.37,8.5,0.5828677839851024,NBA Daily Main Market 10/19,SF,44.75,NBA,2022-10-19
Jaylen Brown,10.65,11,0.032863849765258184,NBA Daily Main Market 10/18,SF,47.25,NBA,2022-10-18
James Harden,11.55,16,0.38528138528138517,NBA Daily Main Market 10/18,SG,58.5,NBA,2022-10-18
